Topic,Words,Frequency,Timestamp
-1,"and, juice, the, to, of",5,2019
0,"the, and, in, to, our",14,2019
6,"glacéau, maid, minute, coca, cola",3,2019
7,"the, that, or, in, of",1,2019
12,"mexico, nationwide, state, of, part",3,2019
-1,"and, the, juice, in, of",14,2020
0,"and, the, to, in, our",43,2020
2,"information, website, reports, on, statements",7,2020
5,"operating, structure, groups, focused, includes",2,2020
6,"maid, glacéau, minute, coca, cola",3,2020
7,"that, the, substances, proposition, 65",3,2020
9,"approximately, employees, agreements, collective, bargaining",1,2020
12,"mexico, nationwide, state, of, part",2,2020
-1,"and, juice, the, in, of",14,2021
0,"and, the, to, in, our",55,2021
2,"information, website, reports, statements, on",7,2021
5,"operating, structure, groups, focused, includes",2,2021
6,"maid, glacéau, minute, coca, cola",3,2021
7,"that, the, substances, proposition, 65",3,2021
9,"approximately, employees, 31, december, 2020",2,2021
10,"pay, employee, assistance, employees, base",4,2021
12,"mexico, nationwide, state, of, part",2,2021
-1,"and, the, of, we, juice",23,2022
0,"and, the, to, our, in",52,2022
2,"information, website, reports, statements, on",9,2022
4,"president, vice, 2021, served, until",6,2022
5,"services, and, operating, companies, businesses",4,2022
6,"minute, glacéau, maid, coca, cola",3,2022
7,"that, the, substances, proposition, 65",3,2022
9,"approximately, employees, 31, personnel, december",4,2022
10,"pay, employee, base, assistance, employees",4,2022
12,"nationwide, mexico, state, of, part",2,2022
13,"authors, publishers, publishing, advertising, others",2,2022
-1,"and, we, of, our, the",22,2023
0,"and, the, to, our, in",13,2023
1,"vehicles, and, to, our, we",33,2023
2,"information, reports, form, statements, on",4,2023
3,"energy, solar, customers, systems, for",17,2023
4,"president, vice, july, 2021, served",6,2023
5,"services, and, companies, businesses, fulfillment",1,2023
8,"driving, self, vehicles, regulations, features",5,2023
9,"personnel, employees, competition, approximately, time",1,2023
11,"tesla, program, start, graduates, over",3,2023
13,"advertising, authors, publishers, others, coverage",3,2023
-1,"and, we, of, our, amazon",10,2024
0,"and, the, to, in, our",3,2024
1,"claims, estimate, warranty, the, management",2,2024
2,"financial, statements, the, of, consolidated",11,2024
4,"president, vice, served, july, from",6,2024
5,"services, and, companies, businesses, fulfillment",1,2024
9,"personnel, employees, competition, approximately, time",1,2024
13,"authors, publishers, advertising, others, programs",2,2024
-1,"and, of, the, we, in",36,2025
0,"and, to, the, our, in",64,2025
1,"vehicles, and, to, our, we",37,2025
2,"information, reports, website, on, sec",10,2025
3,"energy, solar, customers, systems, for",17,2025
4,"president, vice, from, served, since",6,2025
5,"services, and, operating, companies, businesses",4,2025
6,"glacéau, minute, maid, coca, cola",3,2025
7,"the, or, that, of, substances",3,2025
8,"driving, self, vehicles, regulations, features",5,2025
9,"approximately, employees, personnel, 31, december",3,2025
10,"pay, employee, benefits, assistance, compensation",3,2025
11,"program, tesla, graduates, start, manufacturing",11,2025
12,"mexico, part, de, of, argentina",2,2025
13,"advertising, authors, publishers, others, programs",3,2025
-1,"and, we, of, the, in",35,2026
0,"and, the, to, in, our",59,2026
1,"vehicles, and, to, our, we",33,2026
2,"information, reports, website, statements, on",11,2026
3,"energy, solar, customers, systems, generation",15,2026
4,"president, vice, from, served, since",6,2026
5,"services, and, operating, companies, businesses",4,2026
6,"glacéau, minute, maid, coca, cola",3,2026
7,"or, the, that, substances, of",4,2026
8,"autonomous, vehicles, vehicle, regulations, driving",7,2026
9,"approximately, employees, personnel, 31, december",3,2026
10,"pay, benefits, employee, employees, assistance",4,2026
11,"program, tesla, training, programs, educational",1,2026
12,"mexico, part, de, of, argentina",2,2026
13,"advertising, authors, publishers, others, programs",3,2026
